"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
2.450,0.114,0.113,2.450,0.159,0.158,2.450,0.179,0.179,2.450,0.137,0.137,2.450,0.203,0.202
2.500,0.112,0.112,2.500,0.158,0.157,2.500,0.177,0.177,2.500,0.137,0.136,2.500,0.202,0.201
2.550,0.110,0.110,2.550,0.157,0.157,2.550,0.176,0.176,2.550,0.136,0.135,2.550,0.200,0.200
2.600,0.108,0.109,2.600,0.156,0.157,2.600,0.175,0.174,2.600,0.135,0.135,2.600,0.199,0.200
2.650,0.106,0.107,2.650,0.155,0.156,2.650,0.173,0.173,2.650,0.134,0.135,2.650,0.198,0.200
2.700,0.103,0.105,2.700,0.154,0.155,2.700,0.171,0.172,2.700,0.134,0.135,2.700,0.197,0.199
2.750,0.101,0.102,2.750,0.153,0.154,2.750,0.170,0.171,2.750,0.133,0.134,2.750,0.197,0.198
2.800,0.099,0.101,2.800,0.152,0.153,2.800,0.169,0.170,2.800,0.132,0.133,2.800,0.196,0.196
,,,2.850,0.151,0.152,2.850,0.167,0.169,2.850,0.131,0.133,2.850,0.195,0.195
,,,2.900,0.150,0.150,2.900,0.166,0.168,2.900,0.131,0.132,2.900,0.194,0.194
,,,2.950,0.149,0.149,2.950,0.165,0.166,2.950,0.131,0.131,2.950,0.192,0.192
,,,3.000,0.148,0.148,3.000,0.164,0.164,3.000,0.130,0.130,3.000,0.190,0.190
,,,3.050,0.147,0.146,3.050,0.162,0.162,3.050,0.129,0.129,3.050,0.189,0.189
,,,3.100,0.146,0.145,3.100,0.161,0.160,3.100,0.128,0.127,3.100,0.188,0.188
,,,3.150,0.144,0.143,3.150,0.159,0.158,3.150,0.127,0.126,3.150,0.186,0.187
,,,3.200,0.142,0.143,3.200,0.157,0.156,3.200,0.126,0.125,3.200,0.185,0.186
,,,3.250,0.141,0.141,3.250,0.155,0.155,3.250,0.124,0.124,3.250,0.184,0.185
,,,3.300,0.140,0.140,3.300,0.154,0.154,3.300,0.123,0.123,3.300,0.183,0.184
,,,3.350,0.138,0.139,3.350,0.152,0.152,3.350,0.122,0.123,3.350,0.181,0.181
,,,3.400,0.137,0.138,3.400,0.150,0.150,3.400,0.121,0.122,3.400,0.180,0.179
,,,3.450,0.135,0.137,3.450,0.148,0.149,3.450,0.120,0.121,3.450,0.178,0.177
,,,3.500,0.134,0.135,3.500,0.146,0.148,3.500,0.120,0.120,3.500,0.176,0.175
,,,3.550,0.133,0.133,3.550,0.144,0.146,3.550,0.119,0.120,3.550,0.175,0.174
,,,3.600,0.132,0.132,3.600,0.143,0.143,3.600,0.118,0.119,3.600,0.173,0.173
,,,3.650,0.130,0.130,,,,,,,3.650,0.169,0.170
,,,3.700,0.129,0.129,,,,,,,3.700,0.163,0.164
,,,,,,,,,,,,3.750,0.153,0.154
,,,,,,,,,,,,3.800,0.142,0.141
,,,,,,,,,,,,3.850,0.131,0.131
,,,,,,,,,,,,3.900,0.121,0.121
