"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
2.450,0.215,0.837,2.450,0.030,-0.395,2.450,0.392,0.765,2.450,0.027,-0.433,2.450,0.032,-0.499
2.500,0.045,0.996,2.500,0.027,-0.367,2.500,0.119,1.024,2.500,0.026,-0.405,2.500,0.031,-0.487
2.550,0.030,1.005,2.550,0.025,-0.340,2.550,0.030,1.101,2.550,0.025,-0.376,2.550,0.029,-0.464
2.600,0.030,1.002,2.600,0.022,-0.314,2.600,0.031,1.099,2.600,0.025,-0.347,2.600,0.027,-0.432
2.650,0.028,1.000,,,,2.650,0.030,1.095,2.650,0.024,-0.320,2.650,0.025,-0.400
2.700,0.027,0.996,,,,2.700,0.030,1.093,2.700,0.023,-0.294,2.700,0.023,-0.371
2.750,0.027,0.993,,,,2.750,0.029,1.089,2.750,0.022,-0.267,2.750,0.022,-0.346
2.800,0.027,0.990,,,,2.800,0.028,1.087,2.800,0.022,-0.240,2.800,0.022,-0.319
2.850,0.027,0.987,,,,2.850,0.028,1.083,2.850,0.021,-0.212,,,
2.900,0.023,0.921,,,,2.900,0.027,1.080,2.900,0.021,-0.185,,,
2.950,0.010,0.604,,,,2.950,0.027,1.077,2.950,,-0.158,,,
3.000,0.001,0.108,,,,3.000,0.022,1.005,3.000,,-0.132,,,
3.050,0.005,-0.316,,,,3.050,0.008,0.660,,,,,,
3.100,0.017,-0.490,,,,3.100,-0.001,0.122,,,,,,
3.150,0.024,-0.483,,,,3.150,0.005,-0.332,,,,,,
3.200,0.023,-0.484,,,,3.200,0.019,-0.515,,,,,,
3.250,0.022,-0.485,,,,3.250,0.027,-0.507,,,,,,
3.300,0.021,-0.485,,,,3.300,0.024,-0.513,,,,,,
3.350,0.019,-0.485,,,,3.350,0.021,-0.515,,,,,,
3.400,0.019,-0.486,,,,3.400,0.021,-0.515,,,,,,
3.450,0.019,-0.487,,,,3.450,0.021,-0.517,,,,,,
3.500,0.019,-0.487,,,,3.500,0.022,-0.517,,,,,,
3.550,0.018,-0.487,,,,3.550,0.021,-0.517,,,,,,
3.600,0.016,-0.488,,,,3.600,0.021,-0.517,,,,,,
3.650,0.014,-0.489,,,,3.650,0.020,-0.517,,,,,,
3.700,0.012,-0.489,,,,3.700,0.019,-0.519,,,,,,
