"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.050,0.000,0.000,0.050,0.267,0.000,0.050,0.029,0.000,0.050,0.076,0.000,0.050,0.005,0.000
0.100,0.000,0.000,0.100,0.371,0.000,0.100,0.032,0.000,0.100,0.143,0.000,0.100,0.005,0.000
0.150,0.000,0.000,0.150,0.480,0.000,0.150,0.038,0.000,0.150,0.228,0.000,0.150,0.004,0.000
0.200,0.000,0.000,0.200,0.589,0.000,0.200,0.048,0.000,0.200,0.335,0.000,0.200,0.005,0.000
0.250,0.000,0.000,0.250,0.698,0.000,0.250,0.065,0.000,0.250,0.455,0.000,0.250,0.012,0.000
0.300,0.000,0.000,0.300,0.809,0.000,0.300,0.099,0.000,0.300,0.575,0.000,0.300,0.030,0.000
0.350,-4.042E-4,0.000,0.350,0.904,0.000,0.350,0.158,0.000,0.350,0.688,0.000,0.350,0.063,0.000
0.400,-8.084E-4,0.000,0.400,0.962,0.000,0.400,0.245,0.000,0.400,0.789,0.000,0.400,0.111,0.000
0.450,8.084E-4,0.000,0.450,0.981,0.000,0.450,0.349,0.000,0.450,0.869,0.000,0.450,0.178,0.000
0.500,0.005,0.000,0.500,0.982,0.000,0.500,0.463,0.000,0.500,0.919,0.000,0.500,0.276,0.000
0.550,0.013,0.000,0.550,0.981,0.000,0.550,0.588,0.000,0.550,0.939,0.000,0.550,0.411,0.000
0.600,0.022,0.000,0.600,0.981,0.000,0.600,0.721,0.000,0.600,0.943,0.000,0.600,0.577,0.000
0.650,0.033,0.000,0.650,0.981,0.000,0.650,0.842,0.000,0.650,0.942,0.000,0.650,0.747,0.000
0.700,0.046,0.000,0.700,0.981,0.000,0.700,0.924,0.000,0.700,0.942,0.000,0.700,0.889,0.000
0.750,0.060,0.000,0.750,0.981,0.000,0.750,0.962,0.000,0.750,0.942,0.000,0.750,0.978,0.000
0.800,0.079,0.000,0.800,0.981,0.000,0.800,0.970,0.000,0.800,0.942,0.000,0.800,1.016,0.000
0.850,0.110,0.000,0.850,0.980,0.000,0.850,0.969,0.000,0.850,0.942,0.000,0.850,1.023,0.000
0.900,0.156,0.000,0.900,0.979,0.000,0.900,0.969,0.000,0.900,0.942,0.000,0.900,1.023,0.000
0.950,0.224,0.000,0.950,0.979,0.000,0.950,0.969,0.000,0.950,0.941,0.000,0.950,1.023,0.000
1.000,0.314,0.000,1.000,0.978,0.000,1.000,0.969,0.000,1.000,0.941,0.000,1.000,1.023,0.000
1.050,0.421,0.000,1.050,0.977,0.000,1.050,0.969,0.000,1.050,0.940,0.000,1.050,1.023,0.000
1.100,0.537,0.000,1.100,0.976,0.000,1.100,0.968,0.000,1.100,0.939,0.000,1.100,1.023,0.000
1.150,0.654,0.000,1.150,0.975,0.000,1.150,0.968,0.000,1.150,0.939,0.000,1.150,1.023,0.000
1.200,0.772,0.000,1.200,0.905,0.020,1.200,0.968,0.000,1.200,0.938,0.000,1.200,1.023,0.000
1.250,0.887,0.000,1.250,0.719,0.080,1.250,0.967,0.000,1.250,0.937,0.000,1.250,1.023,0.000
1.300,0.984,0.000,1.300,0.481,0.161,1.300,0.966,0.000,1.300,0.935,0.000,1.300,1.021,0.000
1.350,1.043,0.000,1.350,0.306,0.222,1.350,0.966,0.000,1.350,0.934,-4.042E-4,1.350,1.021,0.000
1.400,1.064,0.000,1.400,0.248,0.243,1.400,0.965,0.000,1.400,0.933,-8.084E-4,1.400,1.020,0.000
1.450,1.066,0.000,1.450,0.242,0.243,1.450,0.965,0.000,1.450,0.931,-4.042E-4,1.450,1.020,0.000
1.500,1.067,0.000,1.500,0.242,0.243,1.500,0.964,0.000,1.500,0.816,0.042,1.500,1.019,0.000
1.550,1.067,0.000,1.550,0.242,0.242,1.550,0.962,0.000,1.550,0.585,0.123,1.550,1.017,0.000
1.600,1.066,0.000,1.600,0.241,0.241,1.600,0.960,0.000,1.600,0.352,0.201,1.600,1.015,0.000
1.650,1.066,0.000,1.650,0.240,0.240,1.650,0.930,8.084E-4,1.650,0.234,0.237,1.650,1.014,0.000
1.700,1.065,0.000,1.700,0.238,0.238,1.700,0.782,0.032,1.700,0.231,0.233,1.700,1.013,0.000
