"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
1.750,1.065,0.000,1.750,0.236,0.236,1.750,0.543,0.104,1.750,0.230,0.230,1.750,0.928,0.031
1.800,1.065,0.000,1.800,0.234,0.234,1.800,0.332,0.184,1.800,0.228,0.228,1.800,0.722,0.104
1.850,1.065,0.000,1.850,0.232,0.232,1.850,0.238,0.231,1.850,0.226,0.226,1.850,0.474,0.190
1.900,1.064,0.000,1.900,0.230,0.231,1.900,0.236,0.238,1.900,0.224,0.225,1.900,0.306,0.243
1.950,1.063,0.000,1.950,0.229,0.230,1.950,0.236,0.237,1.950,0.222,0.223,1.950,0.257,0.253
2.000,0.947,0.034,2.000,0.228,0.229,2.000,0.235,0.236,2.000,0.221,0.222,2.000,0.251,0.250
2.050,0.697,0.112,2.050,0.228,0.228,2.050,0.234,0.235,2.050,0.220,0.220,2.050,0.249,0.248
2.100,0.431,0.202,2.100,0.226,0.226,2.100,0.232,0.233,2.100,0.219,0.218,2.100,0.247,0.247
2.150,0.281,0.257,2.150,0.224,0.224,2.150,0.230,0.231,2.150,0.217,0.217,2.150,0.246,0.247
2.200,0.264,0.268,2.200,0.221,0.221,2.200,0.228,0.229,2.200,0.215,0.215,2.200,0.245,0.245
2.250,0.265,0.266,2.250,0.219,0.219,2.250,0.226,0.227,2.250,0.213,0.213,2.250,0.243,0.243
2.300,0.264,0.266,2.300,0.217,0.218,2.300,0.224,0.225,2.300,0.210,0.211,2.300,0.241,0.241
2.350,0.264,0.264,2.350,0.216,0.216,2.350,0.222,0.223,2.350,0.208,0.208,2.350,0.238,0.239
2.400,0.263,0.263,2.400,0.214,0.214,2.400,0.221,0.222,2.400,0.206,0.206,2.400,0.236,0.236
2.450,0.261,0.261,2.450,0.213,0.213,2.450,0.220,0.221,2.450,0.205,0.204,2.450,0.234,0.234
2.500,0.260,0.260,2.500,0.211,0.212,2.500,0.219,0.219,2.500,0.203,0.203,2.500,0.232,0.232
2.550,0.258,0.259,2.550,0.210,0.210,2.550,0.217,0.217,2.550,0.201,0.201,2.550,0.230,0.230
2.600,0.257,0.259,2.600,0.208,0.208,2.600,0.215,0.215,2.600,0.198,0.199,2.600,0.229,0.229
2.650,0.257,0.258,2.650,0.205,0.205,2.650,0.213,0.213,2.650,0.196,0.196,2.650,0.227,0.228
2.700,0.257,0.257,2.700,0.203,0.203,2.700,0.210,0.210,2.700,0.193,0.193,2.700,0.225,0.226
2.750,0.255,0.255,2.750,0.200,0.200,2.750,0.207,0.208,2.750,0.190,0.190,2.750,0.223,0.223
2.800,0.253,0.253,2.800,0.198,0.198,2.800,0.205,0.206,2.800,0.188,0.188,2.800,0.220,0.220
2.850,0.251,0.251,2.850,0.196,0.197,2.850,0.204,0.205,2.850,0.185,0.186,2.850,0.217,0.217
2.900,0.249,0.249,2.900,0.195,0.196,2.900,0.203,0.203,2.900,0.183,0.184,2.900,0.215,0.215
2.950,0.248,0.249,2.950,0.193,0.194,2.950,0.201,0.201,2.950,0.181,0.181,2.950,0.213,0.213
3.000,0.247,0.248,3.000,0.192,0.192,3.000,0.198,0.199,3.000,0.179,0.179,3.000,0.211,0.211
3.050,0.246,0.247,3.050,0.190,0.189,3.050,0.196,0.197,3.050,0.177,0.177,3.050,0.209,0.209
3.100,0.245,0.245,3.100,0.187,0.187,3.100,0.194,0.194,3.100,0.175,0.175,3.100,0.206,0.207
3.150,0.243,0.243,3.150,0.184,0.185,3.150,0.192,0.192,3.150,0.172,0.172,3.150,0.203,0.204
3.200,0.241,0.240,3.200,0.182,0.182,3.200,0.189,0.190,3.200,0.169,0.169,3.200,0.200,0.200
3.250,0.238,0.238,3.250,0.180,0.180,3.250,0.187,0.187,3.250,0.166,0.167,3.250,0.197,0.197
3.300,0.237,0.236,3.300,0.177,0.177,3.300,0.184,0.185,3.300,0.163,0.164,3.300,0.194,0.194
3.350,0.235,0.236,3.350,0.175,0.175,3.350,0.182,0.183,3.350,0.161,0.161,3.350,0.192,0.192
3.400,0.233,0.234,3.400,0.173,0.173,3.400,0.180,0.181,3.400,0.158,0.158,3.400,0.189,0.189
3.450,0.232,0.233,3.450,0.171,0.171,3.450,0.178,0.179,3.450,0.156,0.156,3.450,0.187,0.187
3.500,0.231,0.231,3.500,0.169,0.170,3.500,0.177,0.177,3.500,0.154,0.154,3.500,0.185,0.185
3.550,0.229,0.229,3.550,0.167,0.168,3.550,0.174,0.175,3.550,0.152,0.152,3.550,0.183,0.183
3.600,0.227,0.227,3.600,0.165,0.165,3.600,0.171,0.172,3.600,0.148,0.150,3.600,0.179,0.180
3.650,0.224,0.224,3.650,0.162,0.162,3.650,0.169,0.169,3.650,0.127,0.133,3.650,0.176,0.177
3.700,0.222,0.222,3.700,0.160,0.160,3.700,0.166,0.167,3.700,0.080,0.087,3.700,0.173,0.173
3.750,0.219,0.220,3.750,0.158,0.158,3.750,0.164,0.164,3.750,0.004,0.011,,,
3.800,0.217,0.218,3.800,0.155,0.155,3.800,0.161,0.162,3.800,-0.088,-0.084,,,
3.850,0.216,0.217,,,,3.850,0.158,0.160,3.850,-0.184,-0.181,,,
3.900,0.214,0.215,,,,3.900,0.148,0.154,3.900,-0.275,-0.273,,,
3.950,0.213,0.213,,,,3.950,0.114,0.128,3.950,-0.360,-0.359,,,
4.000,0.211,0.211,,,,4.000,0.048,0.068,4.000,-0.440,-0.440,,,
4.050,0.208,0.209,,,,4.050,-0.043,-0.022,,,,,,
4.100,0.206,0.206,,,,4.100,-0.139,-0.120,,,,,,
4.150,0.203,0.203,,,,4.150,-0.230,-0.213,,,,,,
4.200,0.201,0.200,,,,4.200,-0.316,-0.300,,,,,,
4.250,0.198,0.199,,,,4.250,-0.399,-0.384,,,,,,
4.300,0.196,0.197,,,,4.300,-0.479,-0.467,,,,,,
4.350,0.195,0.195,,,,,,,,,,,,
4.400,0.192,0.193,,,,,,,,,,,,
4.450,0.190,0.190,,,,,,,,,,,,
4.500,0.187,0.188,,,,,,,,,,,,
4.550,0.185,0.185,,,,,,,,,,,,
4.600,0.183,0.182,,,,,,,,,,,,
4.650,0.180,0.179,,,,,,,,,,,,
4.700,0.177,0.177,,,,,,,,,,,,
4.750,0.175,0.175,,,,,,,,,,,,
4.800,0.173,0.173,,,,,,,,,,,,
4.850,0.170,0.171,,,,,,,,,,,,
4.900,0.168,0.169,,,,,,,,,,,,
4.950,0.166,0.167,,,,,,,,,,,,
5.000,0.164,0.164,,,,,,,,,,,,
5.050,0.161,0.161,,,,,,,,,,,,
5.100,0.158,0.158,,,,,,,,,,,,
5.150,0.156,0.155,,,,,,,,,,,,
5.200,0.156,0.154,,,,,,,,,,,,
5.250,0.159,0.158,,,,,,,,,,,,
5.300,0.162,0.163,,,,,,,,,,,,
5.350,0.151,0.154,,,,,,,,,,,,
5.400,0.116,0.120,,,,,,,,,,,,
5.450,0.063,0.064,,,,,,,,,,,,
5.500,0.012,0.011,,,,,,,,,,,,
5.550,-0.027,-0.028,,,,,,,,,,,,
5.600,-0.062,-0.061,,,,,,,,,,,,
5.650,-0.104,-0.104,,,,,,,,,,,,
5.700,-0.159,-0.159,,,,,,,,,,,,
5.750,-0.223,-0.222,,,,,,,,,,,,
5.800,-0.295,-0.293,,,,,,,,,,,,
5.850,-0.374,-0.374,,,,,,,,,,,,
5.900,-0.451,-0.454,,,,,,,,,,,,
5.950,-0.512,-0.515,,,,,,,,,,,,
6.000,-0.547,-0.550,,,,,,,,,,,,
6.050,-0.562,-0.563,,,,,,,,,,,,
6.100,-0.565,-0.566,,,,,,,,,,,,
6.150,-0.566,-0.567,,,,,,,,,,,,
6.200,-0.568,-0.568,,,,,,,,,,,,
