"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
2.400,-0.458,0.257,2.400,-0.395,0.219,2.400,-0.444,0.238,2.400,-0.416,0.230,2.400,-0.449,0.241
2.450,-0.457,0.255,2.450,-0.395,0.218,2.450,-0.442,0.235,2.450,-0.416,0.228,2.450,-0.449,0.237
2.500,-0.456,0.253,2.500,-0.394,0.218,2.500,-0.440,0.231,2.500,-0.416,0.227,2.500,-0.448,0.233
2.550,-0.454,0.249,2.550,-0.393,0.217,2.550,-0.439,0.228,2.550,-0.415,0.226,2.550,-0.446,0.230
2.600,-0.452,0.246,2.600,-0.391,0.216,2.600,-0.439,0.225,2.600,-0.414,0.224,2.600,-0.444,0.226
2.650,-0.451,0.242,2.650,-0.389,0.214,2.650,-0.437,0.222,2.650,-0.411,0.222,2.650,-0.443,0.222
2.700,-0.449,0.239,2.700,-0.387,0.212,2.700,-0.434,0.220,2.700,-0.411,0.218,2.700,-0.442,0.219
2.750,-0.447,0.237,2.750,-0.386,0.209,2.750,-0.433,0.217,2.750,-0.410,0.215,2.750,-0.440,0.217
2.800,-0.445,0.235,2.800,-0.385,0.205,2.800,-0.431,0.213,2.800,-0.409,0.211,2.800,-0.438,0.214
2.850,-0.445,0.232,2.850,-0.383,0.203,2.850,-0.430,0.209,2.850,-0.406,0.209,2.850,-0.437,0.211
2.900,-0.443,0.229,2.900,-0.380,0.201,2.900,-0.428,0.205,2.900,-0.403,0.206,2.900,-0.436,0.208
2.950,-0.441,0.225,2.950,-0.378,0.199,2.950,-0.425,0.202,2.950,-0.403,0.203,2.950,-0.434,0.205
3.000,-0.439,0.221,3.000,-0.377,0.196,3.000,-0.424,0.199,3.000,-0.402,0.200,3.000,-0.431,0.201
3.050,-0.437,0.217,3.050,-0.376,0.194,3.050,-0.422,0.196,3.050,-0.400,0.197,3.050,-0.429,0.197
3.100,-0.436,0.214,3.100,-0.374,0.191,3.100,-0.421,0.194,3.100,-0.397,0.194,3.100,-0.428,0.193
3.150,-0.434,0.211,3.150,-0.371,0.188,3.150,-0.418,0.191,3.150,-0.395,0.192,3.150,-0.427,0.189
3.200,-0.431,0.208,3.200,-0.368,0.184,3.200,-0.416,0.188,3.200,-0.394,0.188,3.200,-0.425,0.186
3.250,-0.428,0.205,3.250,-0.367,0.180,3.250,-0.414,0.185,3.250,-0.393,0.184,3.250,-0.422,0.184
3.300,-0.427,0.203,3.300,-0.365,0.177,3.300,-0.412,0.181,3.300,-0.391,0.180,3.300,-0.420,0.181
3.350,-0.425,0.200,3.350,-0.363,0.173,3.350,-0.410,0.177,3.350,-0.388,0.177,3.350,-0.418,0.178
3.400,-0.423,0.196,3.400,-0.361,0.171,3.400,-0.407,0.173,3.400,-0.385,0.174,3.400,-0.416,0.175
3.450,-0.420,0.192,3.450,-0.358,0.169,3.450,-0.404,0.170,3.450,-0.384,0.171,3.450,-0.414,0.171
3.500,-0.418,0.188,3.500,-0.355,0.166,3.500,-0.403,0.166,3.500,-0.382,0.169,3.500,-0.411,0.167
3.550,-0.416,0.184,3.550,-0.353,0.163,,,,3.550,-0.380,0.166,3.550,-0.409,0.163
3.600,-0.414,0.180,3.600,-0.351,0.161,,,,3.600,-0.378,0.162,3.600,-0.407,0.160
3.650,-0.411,0.177,3.650,-0.349,0.158,,,,3.650,-0.375,0.159,3.650,-0.405,0.156
3.700,-0.408,0.175,3.700,-0.346,0.155,,,,3.700,-0.373,0.156,3.700,-0.401,0.152
3.750,-0.406,0.172,3.750,-0.344,0.151,,,,3.750,-0.371,0.153,,,
3.800,-0.405,0.169,3.800,-0.342,0.148,,,,3.800,-0.369,0.150,,,
3.850,-0.403,0.166,3.850,-0.340,0.145,,,,3.850,-0.366,0.146,,,
3.900,-0.400,0.162,3.900,-0.338,0.141,,,,3.900,-0.363,0.142,,,
3.950,-0.397,0.159,3.950,-0.335,0.137,,,,3.950,-0.361,0.139,,,
4.000,-0.395,0.155,4.000,-0.331,0.134,,,,4.000,-0.360,0.136,,,
4.050,-0.393,0.151,4.050,-0.329,0.131,,,,,,,,,
4.100,-0.391,0.147,4.100,-0.327,0.129,,,,,,,,,
4.150,-0.388,0.143,4.150,-0.326,0.126,,,,,,,,,
4.200,-0.385,0.139,4.200,-0.324,0.124,,,,,,,,,
4.250,-0.383,0.136,,,,,,,,,,,,
4.300,-0.382,0.133,,,,,,,,,,,,
4.350,-0.379,0.130,,,,,,,,,,,,
4.400,-0.376,0.126,,,,,,,,,,,,
