"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5","Time (s) Run #6","Velocity, Red (m/s) Run #6","Velocity, Blue (m/s) Run #6"
,,,2.250,1.041,-0.361,2.250,0.780,-0.315,2.250,0.012,-0.296,2.250,1.024,-0.378,2.250,1.017,-0.383
,,,2.300,1.037,-0.359,2.300,1.016,-0.388,2.300,0.010,-0.291,2.300,1.020,-0.376,2.300,1.013,-0.382
,,,2.350,1.033,-0.356,2.350,1.073,-0.397,2.350,0.007,-0.288,2.350,1.016,-0.373,2.350,1.009,-0.380
,,,2.400,1.029,-0.352,2.400,1.070,-0.396,2.400,0.005,-0.285,2.400,1.012,-0.370,2.400,1.004,-0.376
,,,2.450,1.025,-0.348,2.450,1.067,-0.395,2.450,0.004,-0.283,2.450,1.008,-0.366,2.450,1.000,-0.372
,,,2.500,1.020,-0.344,2.500,1.063,-0.394,2.500,0.003,-0.280,2.500,1.003,-0.362,2.500,0.996,-0.369
,,,2.550,1.016,-0.342,2.550,1.059,-0.391,2.550,0.003,-0.276,2.550,0.999,-0.360,2.550,0.992,-0.367
,,,2.600,0.934,-0.342,2.600,1.055,-0.387,2.600,0.002,-0.270,2.600,0.995,-0.358,2.600,0.987,-0.365
,,,2.650,0.646,-0.344,2.650,1.051,-0.385,,,,2.650,0.991,-0.355,2.650,0.983,-0.361
,,,2.700,0.272,-0.342,2.700,1.047,-0.384,,,,2.700,0.986,-0.351,2.700,0.979,-0.357
,,,2.750,0.013,-0.334,2.750,1.042,-0.381,,,,2.750,0.976,-0.347,2.750,0.975,-0.354
,,,2.800,-0.043,-0.326,2.800,1.038,-0.377,,,,2.800,0.852,-0.345,2.800,0.970,-0.352
,,,2.850,-0.005,-0.323,2.850,1.034,-0.373,,,,2.850,0.546,-0.343,2.850,0.918,-0.350
,,,2.900,0.006,-0.321,2.900,1.029,-0.371,,,,2.900,0.176,-0.340,2.900,0.706,-0.347
,,,,,,2.950,1.025,-0.369,,,,2.950,-0.063,-0.336,2.950,0.385,-0.343
,,,,,,3.000,1.020,-0.366,,,,3.000,-0.094,-0.332,3.000,0.105,-0.339
,,,,,,3.050,1.016,-0.363,,,,3.050,-0.042,-0.328,3.050,-0.022,-0.335
,,,,,,3.100,1.012,-0.359,,,,3.100,-0.004,-0.325,3.100,-0.033,-0.333
,,,,,,3.150,0.981,-0.358,,,,3.150,0.011,-0.323,3.150,-0.030,-0.331
,,,,,,3.200,0.713,-0.364,,,,3.200,0.011,-0.320,3.200,-0.013,-0.328
,,,,,,3.250,0.249,-0.367,,,,3.250,0.009,-0.316,3.250,0.006,-0.324
,,,,,,3.300,-0.177,-0.361,,,,3.300,0.015,-0.312,3.300,0.023,-0.319
,,,,,,3.350,-0.363,-0.349,,,,3.350,0.026,-0.308,3.350,0.032,-0.315
,,,,,,3.400,-0.344,-0.339,,,,3.400,0.035,-0.305,3.400,0.032,-0.312
,,,,,,3.450,-0.326,-0.337,,,,3.450,0.038,-0.302,3.450,0.026,-0.310
,,,,,,3.500,-0.303,-0.335,,,,3.500,0.035,-0.299,3.500,0.016,-0.307
,,,,,,3.550,-0.281,-0.333,,,,3.550,0.030,-0.295,3.550,0.009,-0.304
,,,,,,3.600,-0.259,-0.330,,,,3.600,0.027,-0.291,3.600,0.008,-0.299
,,,,,,3.650,-0.233,-0.326,,,,3.650,0.025,-0.287,3.650,0.011,-0.295
,,,,,,3.700,-0.203,-0.321,,,,3.700,0.023,-0.283,3.700,0.013,-0.291
,,,,,,3.750,-0.173,-0.318,,,,3.750,0.020,-0.280,3.750,0.013,-0.289
,,,,,,3.800,-0.144,-0.315,,,,3.800,0.018,-0.277,3.800,0.009,-0.285
,,,,,,3.850,-0.117,-0.313,,,,3.850,0.016,-0.274,3.850,0.005,-0.282
,,,,,,3.900,-0.090,-0.310,,,,3.900,0.014,-0.271,3.900,0.002,-0.278
,,,,,,3.950,-0.064,-0.306,,,,3.950,0.011,-0.267,3.950,-4.042E-4,-0.273
,,,,,,4.000,-0.040,-0.301,,,,4.000,0.007,-0.262,4.000,-0.002,-0.268
,,,,,,4.050,-0.019,-0.297,,,,,,,,,
,,,,,,4.100,-0.006,-0.294,,,,,,,,,
,,,,,,4.150,-8.084E-4,-0.291,,,,,,,,,
,,,,,,4.200,0.000,-0.289,,,,,,,,,
,,,,,,4.250,0.000,-0.285,,,,,,,,,
,,,,,,4.300,0.000,-0.280,,,,,,,,,
