"Time (s) Run #1","Velocity, Blue (m/s) Run #1","Velocity, Red (m/s) Run #1","Time (s) Run #2","Velocity, Blue (m/s) Run #2","Velocity, Red (m/s) Run #2","Time (s) Run #3","Velocity, Blue (m/s) Run #3","Velocity, Red (m/s) Run #3","Time (s) Run #4","Velocity, Blue (m/s) Run #4","Velocity, Red (m/s) Run #4","Time (s) Run #5","Velocity, Blue (m/s) Run #5","Velocity, Red (m/s) Run #5","Time (s) Run #6","Velocity, Blue (m/s) Run #6","Velocity, Red (m/s) Run #6"
1.900,-0.910,0.867,1.900,1.215,-0.311,1.900,0.522,-0.302,1.900,-0.293,0.339,1.900,-0.598,0.443,1.900,-0.940,0.817
1.950,-0.907,0.863,1.950,1.214,-0.311,1.950,0.521,-0.301,1.950,0.205,-0.054,1.950,-0.847,0.641,1.950,-0.937,0.814
2.000,-0.903,0.859,2.000,1.211,-0.312,2.000,0.521,-0.301,2.000,0.540,-0.308,2.000,-0.937,0.724,2.000,-0.934,0.810
2.050,-0.900,0.854,2.050,1.209,-0.314,2.050,0.521,-0.302,2.050,0.625,-0.366,2.050,-0.935,0.728,2.050,-0.931,0.807
2.100,-0.896,0.850,2.100,1.207,-0.314,2.100,0.521,-0.303,2.100,0.625,-0.367,2.100,-0.933,0.724,2.100,-0.929,0.804
2.150,-0.893,0.845,2.150,1.204,-0.314,2.150,0.520,-0.303,2.150,0.624,-0.367,2.150,-0.931,0.720,2.150,-0.926,0.800
2.200,-0.890,0.841,2.200,1.202,-0.313,2.200,0.520,-0.303,2.200,0.625,-0.369,2.200,-0.928,0.717,2.200,-0.923,0.796
2.250,-0.887,0.837,,,,2.250,0.520,-0.303,2.250,0.625,-0.369,2.250,-0.925,0.714,2.250,-0.920,0.792
2.300,-0.865,0.833,,,,2.300,0.519,-0.302,2.300,0.624,-0.369,2.300,-0.921,0.712,2.300,-0.917,0.788
2.350,-0.604,0.836,,,,2.350,0.518,-0.302,2.350,0.624,-0.368,2.350,-0.918,0.709,2.350,-0.914,0.784
2.400,-0.135,0.836,,,,2.400,0.518,-0.303,2.400,0.624,-0.369,2.400,-0.916,0.704,2.400,-0.910,0.780
2.450,0.308,0.827,,,,2.450,0.519,-0.304,2.450,0.625,-0.370,2.450,-0.912,0.700,2.450,-0.906,0.777
2.500,0.515,0.814,,,,2.500,0.517,-0.305,2.500,0.625,-0.371,2.500,-0.908,0.697,2.500,-0.903,0.773
2.550,0.511,0.784,,,,2.550,0.516,-0.305,2.550,0.624,-0.371,2.550,-0.903,0.694,2.550,-0.899,0.770
2.600,0.508,0.563,,,,2.600,0.515,-0.304,2.600,0.623,-0.370,2.600,-0.900,0.691,2.600,-0.895,0.766
2.650,0.504,0.175,,,,2.650,0.515,-0.304,2.650,0.622,-0.370,2.650,-0.897,0.688,2.650,-0.890,0.761
2.700,0.508,-0.179,,,,2.700,0.514,-0.304,2.700,0.622,-0.371,2.700,-0.894,0.684,2.700,-0.808,0.722
2.750,0.515,-0.335,,,,,,,2.750,0.622,-0.372,2.750,-0.890,0.681,2.750,-0.491,0.487
2.800,0.519,-0.325,,,,,,,2.800,0.622,-0.372,2.800,-0.886,0.677,2.800,-0.016,0.093
2.850,0.517,-0.325,,,,,,,2.850,0.622,-0.371,2.850,-0.881,0.674,2.850,0.380,-0.264
2.900,0.517,-0.326,,,,,,,2.900,0.620,-0.371,2.900,-0.714,0.679,2.900,0.537,-0.424
2.950,0.517,-0.327,,,,,,,2.950,0.619,-0.371,2.950,-0.318,0.684,2.950,0.536,-0.424
3.000,0.517,-0.328,,,,,,,3.000,0.629,-0.373,3.000,0.146,0.680,3.000,0.535,-0.426
3.050,0.517,-0.328,,,,,,,3.050,0.641,-0.374,3.050,0.442,0.618,3.050,0.535,-0.427
3.100,0.517,-0.327,,,,,,,3.100,0.641,-0.373,3.100,0.506,0.395,3.100,0.535,-0.427
3.150,0.517,-0.327,,,,,,,3.150,0.629,-0.373,3.150,0.505,0.077,3.150,0.535,-0.427
3.200,0.515,-0.327,,,,,,,3.200,0.615,-0.374,3.200,0.508,-0.186,3.200,0.535,-0.427
3.250,0.515,-0.328,,,,,,,3.250,0.612,-0.376,3.250,0.514,-0.289,3.250,0.536,-0.428
3.300,0.516,-0.329,,,,,,,3.300,0.611,-0.376,3.300,0.517,-0.285,3.300,0.536,-0.428
