"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
1.100,0.825,0.000,1.100,0.897,0.000,1.100,0.676,0.000,1.100,0.815,-0.027,1.100,0.867,0.000
1.150,0.775,0.021,1.150,0.897,0.000,1.150,0.676,0.000,1.150,0.815,-0.026,1.150,0.867,0.000
1.200,0.535,0.110,1.200,0.897,0.000,1.200,0.676,0.000,1.200,0.814,-0.026,1.200,0.866,0.000
1.250,0.146,0.250,1.250,0.898,0.000,1.250,0.676,0.000,1.250,0.814,-0.025,1.250,0.865,0.000
1.300,-0.200,0.371,1.300,0.897,0.000,1.300,0.677,0.000,1.300,0.814,-0.025,1.300,0.865,0.000
1.350,-0.355,0.424,1.350,0.897,0.000,1.350,0.677,0.000,1.350,0.814,-0.024,1.350,0.865,0.000
1.400,-0.360,0.426,1.400,0.895,0.000,1.400,0.677,0.000,1.400,0.812,-0.023,1.400,0.864,0.000
1.450,-0.359,0.424,1.450,0.895,-4.042E-4,1.450,0.676,0.000,1.450,0.812,-0.022,1.450,0.863,0.000
1.500,-0.359,0.422,1.500,0.894,-8.084E-4,1.500,0.675,0.000,1.500,0.811,-0.021,1.500,0.863,0.000
1.550,-0.357,0.420,1.550,0.893,-4.042E-4,1.550,0.675,0.000,1.550,0.810,-0.021,1.550,0.861,0.000
1.600,-0.354,0.420,1.600,0.892,4.042E-4,1.600,0.675,0.000,1.600,0.809,-0.021,1.600,0.854,0.002
1.650,-0.351,0.418,1.650,0.892,8.084E-4,1.650,0.674,0.000,1.650,0.801,-0.018,1.650,0.723,0.061
1.700,-0.348,0.416,1.700,0.890,4.042E-4,1.700,0.673,0.000,1.700,0.659,0.041,1.700,0.392,0.190
1.750,-0.348,0.413,1.750,0.886,4.042E-4,1.750,0.672,0.000,1.750,0.329,0.167,1.750,-0.014,0.335
1.800,-0.347,0.411,1.800,0.791,0.046,1.800,0.670,4.042E-4,1.800,-0.055,0.304,1.800,-0.295,0.424
1.850,-0.345,0.409,1.850,0.494,0.165,1.850,0.642,0.012,1.850,-0.304,0.385,1.850,-0.374,0.441
1.900,-0.342,0.406,1.900,0.082,0.314,1.900,0.475,0.076,1.900,-0.365,0.399,1.900,-0.373,0.440
1.950,-0.340,0.402,1.950,-0.242,0.418,1.950,0.175,0.185,1.950,-0.366,0.398,1.950,-0.373,0.437
2.000,-0.338,0.398,2.000,-0.363,0.448,2.000,-0.117,0.287,2.000,-0.366,0.396,2.000,-0.372,0.434
2.050,-0.335,0.396,2.050,-0.366,0.447,2.050,-0.270,0.337,2.050,-0.365,0.392,2.050,-0.371,0.433
2.100,-0.334,0.393,2.100,-0.365,0.444,2.100,-0.289,0.341,2.100,-0.363,0.388,2.100,-0.370,0.430
2.150,-0.331,0.390,2.150,-0.365,0.440,2.150,-0.290,0.340,2.150,-0.361,0.385,2.150,-0.367,0.427
2.200,-0.329,0.385,2.200,-0.363,0.437,2.200,-0.290,0.338,2.200,-0.360,0.383,2.200,-0.365,0.423
2.250,-0.326,0.381,2.250,-0.361,0.434,2.250,-0.289,0.335,2.250,-0.359,0.380,2.250,-0.364,0.420
2.300,-0.323,0.379,2.300,-0.359,0.430,2.300,-0.288,0.331,2.300,-0.358,0.377,2.300,-0.364,0.418
2.350,-0.322,0.376,2.350,-0.358,0.426,2.350,-0.286,0.327,2.350,-0.356,0.372,2.350,-0.363,0.414
2.400,-0.320,0.372,2.400,-0.358,0.422,2.400,-0.285,0.323,2.400,-0.354,0.368,2.400,-0.360,0.410
2.450,-0.317,0.367,2.450,-0.357,0.420,2.450,-0.284,0.321,2.450,-0.352,0.365,2.450,-0.358,0.406
2.500,-0.314,0.363,2.500,-0.354,0.417,2.500,-0.283,0.319,2.500,-0.351,0.363,2.500,-0.357,0.403
2.550,-0.311,0.360,2.550,-0.352,0.414,2.550,-0.283,0.316,2.550,-0.350,0.361,2.550,-0.356,0.401
2.600,-0.309,0.357,2.600,-0.351,0.409,2.600,-0.281,0.312,2.600,-0.348,0.357,2.600,-0.354,0.397
2.650,-0.307,0.354,2.650,-0.350,0.405,2.650,-0.279,0.308,2.650,-0.346,0.352,2.650,-0.352,0.392
2.700,-0.306,0.349,2.700,-0.350,0.403,2.700,-0.277,0.304,2.700,-0.344,0.348,2.700,-0.350,0.388
2.750,-0.303,0.344,2.750,-0.348,0.399,2.750,-0.276,0.301,2.750,-0.342,0.346,2.750,-0.348,0.385
2.800,-0.301,0.340,2.800,-0.345,0.395,2.800,-0.275,0.299,2.800,-0.341,0.343,2.800,-0.346,0.382
,,,2.850,-0.343,0.390,2.850,-0.274,0.296,2.850,-0.339,0.339,2.850,-0.345,0.378
,,,2.900,-0.342,0.386,2.900,-0.273,0.293,2.900,-0.337,0.334,2.900,-0.344,0.373
,,,2.950,-0.341,0.384,2.950,-0.272,0.289,2.950,-0.335,0.330,2.950,-0.342,0.369
,,,3.000,-0.340,0.381,3.000,-0.270,0.284,3.000,-0.332,0.327,3.000,-0.339,0.365
,,,3.050,-0.338,0.377,3.050,-0.268,0.281,3.050,-0.331,0.325,3.050,-0.336,0.363
,,,3.100,-0.335,0.372,3.100,-0.265,0.278,3.100,-0.329,0.321,3.100,-0.335,0.359
,,,3.150,-0.332,0.368,3.150,-0.264,0.275,3.150,-0.327,0.316,3.150,-0.333,0.355
,,,3.200,-0.330,0.365,3.200,-0.262,0.272,3.200,-0.325,0.312,3.200,-0.332,0.350
,,,3.250,-0.329,0.361,3.250,-0.261,0.268,3.250,-0.322,0.308,3.250,-0.329,0.346
,,,3.300,-0.328,0.357,3.300,-0.260,0.264,3.300,-0.319,0.305,3.300,-0.331,0.308
,,,3.350,-0.326,0.352,3.350,-0.258,0.260,3.350,-0.317,0.302,3.350,-0.333,0.193
,,,3.400,-0.323,0.348,3.400,-0.256,0.256,3.400,-0.316,0.298,3.400,-0.331,0.035
,,,3.450,-0.321,0.344,3.450,-0.253,0.253,3.450,-0.314,0.294,3.450,-0.325,-0.087
,,,3.500,-0.325,0.276,3.500,-0.251,0.250,3.500,-0.312,0.290,3.500,-0.318,-0.131
,,,3.550,-0.328,0.133,3.550,-0.250,0.247,,,,3.550,-0.316,-0.133
,,,3.600,-0.325,-0.021,3.600,-0.248,0.244,,,,3.600,-0.314,-0.136
,,,3.650,-0.316,-0.111,3.650,-0.247,0.240,,,,3.650,-0.312,-0.137
,,,3.700,-0.309,-0.126,3.700,-0.245,0.235,,,,3.700,-0.310,-0.139
,,,,,,3.750,-0.243,0.231,,,,3.750,-0.308,-0.141
,,,,,,3.800,-0.241,0.227,,,,3.800,-0.307,-0.142
,,,,,,3.850,-0.238,0.223,,,,3.850,-0.305,
,,,,,,3.900,-0.235,0.220,,,,3.900,-0.301,
,,,,,,3.950,-0.234,0.217,,,,,,
,,,,,,4.000,-0.233,0.213,,,,,,
