"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.050,0.346,0.000,0.050,0.008,0.001,0.050,0.024,0.000,0.050,0.022,-0.032,0.050,0.004,0.000
0.100,0.506,0.000,0.100,0.007,4.042E-4,0.100,0.041,0.000,0.100,0.044,-0.032,0.100,0.023,0.000
0.150,0.648,-4.042E-4,0.150,0.007,0.000,0.150,0.065,0.000,0.150,0.076,-0.032,0.150,0.049,0.000
0.200,0.750,-8.084E-4,0.200,0.008,-4.042E-4,0.200,0.105,0.000,0.200,0.117,-0.032,0.200,0.084,0.000
0.250,0.805,-8.084E-4,0.250,0.011,-8.084E-4,0.250,0.167,0.000,0.250,0.170,-0.032,0.250,0.137,0.000
0.300,0.825,-4.042E-4,0.300,0.017,-8.084E-4,0.300,0.249,0.000,0.300,0.235,-0.031,0.300,0.224,0.000
0.350,0.828,0.000,0.350,0.029,0.000,0.350,0.347,0.000,0.350,0.316,-0.031,0.350,0.351,0.000
0.400,0.828,0.000,0.400,0.053,8.084E-4,0.400,0.445,0.000,0.400,0.413,-0.031,0.400,0.506,0.000
0.450,0.829,0.000,0.450,0.092,8.084E-4,0.450,0.529,0.000,0.450,0.520,-0.031,0.450,0.659,0.000
0.500,0.828,0.000,0.500,0.149,4.042E-4,0.500,0.595,0.000,0.500,0.631,-0.031,0.500,0.776,0.000
0.550,0.829,0.000,0.550,0.224,0.000,0.550,0.639,0.000,0.550,0.725,-0.030,0.550,0.841,0.000
0.600,0.829,0.000,0.600,0.319,0.000,0.600,0.665,0.000,0.600,0.785,-0.030,0.600,0.863,0.000
0.650,0.829,0.000,0.650,0.435,-4.042E-4,0.650,0.673,0.000,0.650,0.810,-0.028,0.650,0.865,0.000
0.700,0.829,0.000,0.700,0.563,-8.084E-4,0.700,0.673,0.000,0.700,0.814,-0.027,0.700,0.865,0.000
0.750,0.829,0.000,0.750,0.692,-4.042E-4,0.750,0.673,0.000,0.750,0.814,-0.027,0.750,0.865,0.000
0.800,0.829,0.000,0.800,0.799,4.042E-4,0.800,0.673,0.000,0.800,0.814,-0.027,0.800,0.865,0.000
0.850,0.828,0.000,0.850,0.866,8.084E-4,0.850,0.674,0.000,0.850,0.815,-0.028,0.850,0.866,0.000
0.900,0.827,0.000,0.900,0.893,4.042E-4,0.900,0.675,0.000,0.900,0.815,-0.028,0.900,0.866,0.000
0.950,0.827,0.000,0.950,0.897,0.000,0.950,0.675,0.000,0.950,0.814,-0.028,0.950,0.866,0.000
1.000,0.827,0.000,1.000,0.897,0.000,1.000,0.675,0.000,1.000,0.814,-0.028,1.000,0.865,0.000
1.050,0.827,0.000,1.050,0.897,0.000,1.050,0.675,0.000,1.050,0.814,-0.027,1.050,0.867,0.000
