"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Force (N) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Force (N) Run #2"
3.400,0.34,0.17,-0.11,-1.8,3.400,0.35,0.11,-0.02,-1.8
3.450,0.35,0.16,-0.09,-1.8,3.450,0.35,0.11,0.03,-1.8
3.500,0.36,0.16,-0.06,-1.7,3.500,0.36,0.11,0.11,-1.8
3.550,0.37,0.16,-0.06,-1.7,3.550,0.37,0.12,0.13,-1.8
3.600,0.38,0.15,-0.09,-1.7,3.600,0.37,0.13,0.09,-1.8
3.650,0.38,0.15,-0.14,-1.7,3.650,0.38,0.13,0.01,-1.8
3.700,0.39,0.14,-0.16,-1.7,3.700,0.39,0.13,-0.05,-1.8
3.750,0.40,0.13,-0.11,-1.8,3.750,0.39,0.13,-0.07,-1.8
3.800,0.40,0.13,-0.04,-1.8,3.800,0.40,0.12,-0.06,-1.7
3.850,0.41,0.13,-0.01,-1.9,3.850,0.40,0.12,-0.02,-1.8
3.900,0.42,0.13,-0.01,-1.9,3.900,0.41,0.12,0.00,-1.7
3.950,0.42,0.13,0.00,-1.9,3.950,0.42,0.12,-0.02,-1.8
4.000,0.43,0.12,0.03,-2.0,4.000,0.42,0.12,-0.07,-1.7
4.050,0.43,0.13,0.06,-2.0,4.050,0.43,0.11,-0.10,-1.8
4.100,0.44,0.13,0.08,-2.0,4.100,0.43,0.11,-0.10,-1.8
4.150,0.45,0.14,0.07,-1.9,4.150,0.44,0.10,-0.07,-1.8
4.200,0.46,0.14,0.04,-1.9,4.200,0.44,0.10,-0.04,-1.8
4.250,0.46,0.14,0.02,-1.9,4.250,0.45,0.10,-0.01,-1.8
4.300,0.47,0.14,0.02,-1.9,4.300,0.45,0.10,0.02,-2.0
4.350,0.48,0.14,0.04,-1.9,4.350,0.46,0.10,0.05,-1.9
4.400,0.48,0.15,0.05,-2.0,4.400,0.46,0.10,0.08,-2.0
4.450,0.49,0.15,0.06,-2.0,4.450,0.47,0.11,0.11,-2.1
4.500,0.50,0.15,0.08,-2.0,4.500,0.47,0.11,0.13,-2.0
4.550,0.51,0.16,0.11,-2.0,4.550,0.48,0.12,0.14,-2.0
4.600,0.51,0.16,0.13,-1.9,4.600,0.49,0.13,0.14,-2.1
4.650,0.52,0.17,0.12,-1.9,4.650,0.49,0.14,0.12,-2.1
4.700,0.53,0.18,0.03,-1.8,4.700,0.50,0.14,0.09,-2.0
4.750,0.54,0.17,-0.06,-1.8,4.750,0.51,0.14,0.10,-2.0
4.800,0.55,0.17,-0.09,-1.8,4.800,0.51,0.15,0.15,-2.0
4.850,0.56,0.16,-0.05,-1.7,4.850,0.52,0.16,0.19,-2.0
4.900,0.56,0.16,-0.02,-1.7,4.900,0.53,0.17,0.19,-2.0
4.950,0.57,0.16,-0.03,-1.8,4.950,0.54,0.18,0.12,-2.0
5.000,0.58,0.16,-0.07,-1.6,5.000,0.55,0.18,0.05,-2.0
5.050,0.59,0.16,-0.13,-1.7,5.050,0.56,0.18,-0.01,-1.9
5.100,0.60,0.15,-0.18,-1.7,5.100,0.57,0.18,-0.04,-2.0
5.150,0.60,0.14,-0.20,-1.6,5.150,0.57,0.18,-0.08,-1.9
5.200,0.61,0.12,-0.14,-1.7,5.200,0.58,0.17,-0.12,-1.8
5.250,0.62,0.12,-0.05,-1.7,5.250,0.59,0.17,-0.14,-1.8
5.300,0.62,0.12,0.04,-1.8,5.300,0.60,0.16,-0.13,-1.7
5.350,0.63,0.13,0.07,-1.7,5.350,0.61,0.15,-0.10,-1.7
5.400,0.63,0.13,0.05,-1.8,5.400,0.62,0.15,-0.07,-1.8
5.450,0.64,0.13,0.02,-1.7,5.450,0.62,0.15,-0.05,-1.7
